Ticker,FDX,FDX,FDX,FDX,FDX,JNJ,JNJ,JNJ,JNJ,JNJ,AAPL,AAPL,AAPL,AAPL,AAPL,HD,HD,HD,HD,HD,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,COP,COP,COP,COP,COP,MS,MS,MS,MS,MS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,138.87452325603036,141.3163604736328,138.12740339952666,141.3163604736328,3027600,125.9687754842636,126.09831870928423,125.2865619364055,126.05513763427734,5777000,71.72100391407992,72.77658292273667,71.46679725362982,72.71605682373047,135480400,192.98718532515008,193.58618966805648,191.89486668395344,193.49810791015625,3935700,67.09969405120086,68.10836791992188,67.00415018078345,68.10836791992188,27278000,53.79603916339832,54.12567301992384,53.44168386790089,53.944374084472656,4122800,43.27308308875288,43.99993616128367,43.24772557462319,43.9830322265625,7808000
2020-01-03,138.9474391072881,139.71278559915302,138.34608947678626,139.56700134277344,2216500,123.92215846825785,125.53702837241798,123.49037394397821,124.59574127197266,5752400,71.94133580542943,72.7717522953066,71.78396939069293,72.00912475585938,146322800,191.27828500111073,193.5157611043228,190.9347351502628,192.85508728027344,3423200,67.07929686090621,68.36066912200879,67.04545444931702,67.7520751953125,23408000,55.24641554968886,55.32057985477771,53.622974252164184,54.14214324951172,6333200,43.28998285154914,43.48437324596503,42.96036421649196,43.27307891845703,6706000
2020-01-06,137.80852501958609,139.9041285111781,136.82450214781022,139.6763458251953,2389700,124.3539301916254,124.52664134815488,123.36083115881836,124.44029235839844,7731300,71.12787343706493,72.62165386110323,70.87608272259153,72.58291625976562,118387200,190.70570208876495,193.79765067654856,190.62641101617328,193.76242065429688,5682800,67.25992638011208,69.58332136437583,67.22858209701914,69.55794525146484,46768000,54.62013395903324,55.16403089780517,54.29050002225429,54.78495407104492,8823800,42.82513099596619,43.13784890920571,42.647644541919185,43.12094497680664,7476700
2020-01-07,139.73093893514735,141.42564179554125,138.80158216583598,141.04296875,2140100,124.36258560839876,125.60612726333014,122.0914077579525,125.20024871826172,7382900,72.59258596559819,72.84921605109494,72.02122310005907,72.24153900146484,108872000,193.35718836497105,194.2909384679479,191.06684727199817,192.49391174316406,5685400,69.68981296449783,69.84109012983315,69.24693070667955,69.423583984375,34330000,54.75199004864258,54.7931903612122,54.17512908746832,54.78495407104492,5974800,43.13786161254309,43.26463630672582,42.8589514819676,43.03643798828125,4538100
2020-01-08,140.8334624951793,143.73085110887197,140.25032556876369,143.16595458984375,3053200,125.10522166573791,126.06378366675686,124.09484763931508,125.18295288085938,6605800,71.94374389134458,73.70626361557562,71.94374389134458,73.40363311767578,132079200,192.74055801080857,196.41390244762948,192.62603692622028,195.3744354248047,4916200,69.40915447916457,70.25660431481994,69.30017841973043,69.917724609375,35314000,54.76022411300407,54.9085590641631,53.16974624839391,53.515865325927734,6470100,43.0702414184407,43.77174023876085,43.019532835639,43.58580017089844,6185200
2020-01-09,143.91307754459112,144.2410851213852,142.67393935478572,144.0041961669922,2240200,125.87382236817896,126.10698970565991,125.20888367453873,125.55430603027344,6112700,74.38417348369161,75.15648731833909,74.1323901596974,74.96280670166016,170108400,196.12315295170544,198.68656965525594,195.4272493651451,198.36944580078125,4843600,70.75820366435225,71.09409928302898,70.17499344034695,70.65171813964844,33200000,53.21095240319197,54.51300293171235,52.980210544921334,54.44707489013672,6005100,44.09290577558995,44.160521518782915,43.79709495936093,43.99993896484375,7308000
2020-01-10,144.02243385140218,144.35042755090612,142.26394440236206,142.7104034423828,2449600,125.86517468242236,126.23650300660329,125.13113580283321,125.2693099975586,5042600,75.19765137920673,75.69880941545972,74.6287043855216,75.13227844238281,140644800,197.98193554900405,198.63380527026553,196.46678907148925,197.5150604248047,4226600,71.13340830145955,71.4056054391935,70.642256782346,71.10802459716797,26258000,54.274016845185045,54.55420158249093,53.837254585711804,53.91141891479492,7233100,44.07600040643467,44.346456902435584,43.88160677734426,44.126708984375,7686800
2020-01-13,142.7923408245213,145.35261472687873,142.78323452656716,145.1248321533203,1985300,125.63202760090215,125.89973191064381,124.97571983582519,125.82201385498047,4593200,75.44942915816804,76.76405445807666,75.33079296168272,76.73741912841797,121532000,197.76168297600367,197.7704871207359,196.15844149953972,196.73983764648438,6060900,71.42103622672836,71.73105459235768,70.92939109321708,71.65890502929688,30730000,53.861973478779674,53.98558697530995,53.46641154733153,53.67243194580078,3675300,44.126716188393715,44.60846710205078,44.00839185508795,44.60846710205078,8334200
